tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
5807,6/1/2013 11:49,6/1/2013 13:26,510,W 51 St & 6 Ave,40.7606597,-73.98042047,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,19805,Customer,NULL,0
112,6/1/2013 11:50,6/1/2013 11:51,368,Carmine St & 6 Ave,40.73038599,-74.00214988,368,Carmine St & 6 Ave,40.73038599,-74.00214988,19203,Customer,NULL,0
1672,6/1/2013 11:50,6/1/2013 12:18,357,E 11 St & Broadway,40.73261787,-73.99158043,NULL,NULL,NULL,NULL,17816,Subscriber,1957,2
964,6/1/2013 11:45,6/1/2013 12:01,442,W 27 St & 7 Ave,40.746647,-73.993915,164,E 47 St & 2 Ave,40.75323098,-73.97032517,18840,Subscriber,1975,1
83797,6/1/2013 11:50,6/2/2013 11:06,128,MacDougal St & Prince St,40.72710258,-74.00297088,525,W 34 St & 11 Ave,40.75594159,-74.0021163,18997,Customer,NULL,0
1284,6/1/2013 11:50,6/1/2013 12:11,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,17336,Subscriber,1986,1
1719,6/1/2013 11:50,6/1/2013 12:18,128,MacDougal St & Prince St,40.72710258,-74.00297088,525,W 34 St & 11 Ave,40.75594159,-74.0021163,16158,Customer,NULL,0
2308,6/1/2013 11:50,6/1/2013 12:28,363,West Thames St,40.70834698,-74.01713445,515,W 43 St & 10 Ave,40.76009437,-73.99461843,17322,Subscriber,1961,1
349,6/1/2013 11:50,6/1/2013 11:56,375,Mercer St & Bleecker St S,40.72679454,-73.99695094,312,Allen St & Stanton St,40.722055,-73.989111,17904,Subscriber,1981,1
1305,6/1/2013 11:50,6/1/2013 12:12,2003,1 Ave & E 18 St,40.73381219,-73.98054421,285,Broadway & E 14 St,40.73454567,-73.99074142,18959,Customer,NULL,0
826,6/1/2013 11:50,6/1/2013 12:04,361,Allen St & Hester St,40.71605866,-73.99190759,2000,Front St & Washington St,40.70255088,-73.98940236,16867,Subscriber,1968,1
1916,6/1/2013 11:50,6/1/2013 12:22,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,15875,Subscriber,1952,1
4977,6/1/2013 11:50,6/1/2013 13:13,530,11 Ave & W 59 St,40.771522,-73.990541,422,W 59 St & 10 Ave,40.770513,-73.988038,18777,Customer,NULL,0
732,6/1/2013 11:50,6/1/2013 12:03,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,16598,Subscriber,1969,1
531,6/1/2013 11:51,6/1/2013 11:59,233,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739,2009,Catherine St & Monroe St,40.71117444,-73.99682619,14936,Customer,NULL,0
300,6/1/2013 11:51,6/1/2013 11:56,491,E 24 St & Park Ave S,40.74096374,-73.98602213,526,E 33 St & 5 Ave,40.74765947,-73.98490707,18377,Subscriber,1988,1
2053,6/1/2013 11:51,6/1/2013 12:25,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,238,Bank St & Washington St,40.7361967,-74.00859207,16193,Subscriber,1945,2
327,6/1/2013 11:51,6/1/2013 11:56,449,W 52 St & 9 Ave,40.76461837,-73.98789473,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17931,Subscriber,1987,1
5700,6/1/2013 11:51,6/1/2013 13:26,510,W 51 St & 6 Ave,40.7606597,-73.98042047,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,15616,Customer,NULL,0
792,6/1/2013 11:51,6/1/2013 12:04,518,E 39 St & 2 Ave,40.74780373,-73.9734419,445,E 10 St & Avenue A,40.72740794,-73.98142006,16047,Subscriber,1981,1
1920,6/1/2013 11:51,6/1/2013 12:23,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,282,Kent Ave & S 11 St,40.70764494,-73.96841526,17828,Customer,NULL,0
1909,6/1/2013 11:51,6/1/2013 12:23,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,282,Kent Ave & S 11 St,40.70764494,-73.96841526,16001,Customer,NULL,0
353,6/1/2013 11:51,6/1/2013 11:57,346,Bank St & Hudson St,40.73652889,-74.00618026,347,Greenwich St & W Houston St,40.728846,-74.008591,17668,Subscriber,1972,1
1299,6/1/2013 11:51,6/1/2013 12:12,410,Suffolk St & Stanton St,40.72066442,-73.98517977,435,W 21 St & 6 Ave,40.74173969,-73.99415556,18750,Subscriber,1971,1
1152,6/1/2013 11:51,6/1/2013 12:10,491,E 24 St & Park Ave S,40.74096374,-73.98602213,393,E 5 St & Avenue C,40.72299208,-73.97995466,15540,Subscriber,1957,2
387,6/1/2013 11:51,6/1/2013 11:57,79,Franklin St & W Broadway,40.71911552,-74.00666661,463,9 Ave & W 16 St,40.74206539,-74.00443172,17242,Subscriber,1984,1
1300,6/1/2013 11:51,6/1/2013 12:13,428,E 3 St & 1 Ave,40.72467721,-73.98783413,512,W 29 St & 9 Ave,40.7500727,-73.99839279,19600,Subscriber,1982,1
458,6/1/2013 11:51,6/1/2013 11:59,475,E 15 St & Irving Pl,40.73524276,-73.98758561,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,16131,Subscriber,1986,1
1008,6/1/2013 11:51,6/1/2013 12:08,410,Suffolk St & Stanton St,40.72066442,-73.98517977,428,E 3 St & 1 Ave,40.72467721,-73.98783413,19035,Customer,NULL,0
529,6/1/2013 11:51,6/1/2013 12:00,406,Hicks St & Montague St,40.69512845,-73.99595065,3002,South End Ave & Liberty St,40.711512,-74.015756,16369,Subscriber,1968,1
983,6/1/2013 11:52,6/1/2013 12:08,410,Suffolk St & Stanton St,40.72066442,-73.98517977,428,E 3 St & 1 Ave,40.72467721,-73.98783413,14968,Customer,NULL,0
1747,6/1/2013 11:52,6/1/2013 12:21,347,Greenwich St & W Houston St,40.728846,-74.008591,406,Hicks St & Montague St,40.69512845,-73.99595065,18053,Subscriber,1954,2
1919,6/1/2013 11:52,6/1/2013 12:24,315,South St & Gouverneur Ln,40.70355377,-74.00670227,301,E 2 St & Avenue B,40.72217444,-73.98368779,18591,Subscriber,1981,2
248,6/1/2013 11:52,6/1/2013 11:56,271,Ashland Pl & Hanson Pl,40.68522672,-73.97800148,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,16320,Subscriber,1983,2
235,6/1/2013 11:52,6/1/2013 11:56,271,Ashland Pl & Hanson Pl,40.68522672,-73.97800148,459,W 20 St & 11 Ave,40.746745,-74.007756,15860,Subscriber,1974,1
865,6/1/2013 11:52,6/1/2013 12:07,225,W 14 St & The High Line,40.74195138,-74.00803013,329,Greenwich St & North Moore St,40.72015227,-74.01036501,19194,Subscriber,1970,1
993,6/1/2013 11:53,6/1/2013 12:09,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,18504,Subscriber,1982,2
